Albedo	NDVI_StdDev_Antalya	DEM	Aspect	Land_Cover	Precipitation	Slope	Soil_Organic_Carbon	Soil_pH	SoilpH	LST	Clay_Content	SoilTexture	LandUse	Annual_Temperature
160.461538	0.160126	28	180	50	720.417552	3.704792	301	70.666667	75	308.850541	241	7	50	24.479167
195.970588	0.099556	36	244.1775	60	664.751572	6.361639	268.666667	73	74	310.205786	233.333333	7	10	24.583333
157.1875	0.044448	42	137.0764	50	713.634121	5.053295	319.666667	72.333333	75	311.060291	244.666667	7	50	24.583333
157.1875	0.091579	44	111.959	50	713.634121	2.478755	310	72.666667	74	310.752669	240.333333	7	50	24.583333
151.756098	0.114245	8	291.961	40	675.61816	2.478543	451.333333	70	73	313.572536	217.666667	7	30	<Null>
147.666667	0.118602	10	180	50	720.417552	1.854334	350.666667	71.666667	74	315.182423	246.333333	7	50	<Null>
121.073171	0.069226	59	331.1398	30	720.417552	9.444707	279.666667	72	73	312.077152	228.333333	4	30	24.602083
144.097561	0.099481	85	90	60	675.61816	3.445011	<Null>	<Null>	72	314.779097	<Null>	4	50	24.602083
130.325	0.126164	49	0	10	664.751572	2.780288	<Null>	<Null>	74	311.144033	<Null>	7	10	24.583333
129.121951	0.140828	110	257.0197	60	675.61816	8.201941	<Null>	<Null>	73	306.427165	<Null>	7	10	24.60625
133.073171	0.058945	69	291.9658	60	675.61816	2.478021	<Null>	<Null>	74	310.925279	<Null>	7	10	24.583333
158.666667	0.119549	24	51.11684	10	720.417552	1.477194	296.333333	72.666667	74	312.53004	224	7	10	24.583333
137.292683	0.067818	3	0	10	675.276567	2.780288	521.333333	70	73	313.157247	224	7	50	<Null>
161.666667	0.207857	31	337.5381	40	720.417552	3.008132	291	72.666667	73	314.615032	289.666667	7	40	24.8125
133.390244	0.102882	5	328.1884	60	710.186666	2.181825	419.333333	71.333333	69	310.359597	294	7	10	24.908333
157.325	0.093249	14	270	50	710.186666	2.300156	<Null>	73	75	312.907731	267	7	50	24.908333
162.625	0.044344	20	180	50	720.417552	0.92741	268.666667	73.666667	74	313.135029	267.333333	7	50	24.8125
165.368421	0.041945	175	190.0441	50	664.751572	6.564613	264.333333	73	74	308.602735	256	7	50	24.085417
149.138889	0.08935	62	211.7965	50	664.751572	2.18147	279	73	73	305.381251	251	7	10	24.583333
168.1875	0.059998	83	128.8889	50	664.751572	1.47701	280	73	76	309.002643	244	7	50	24.583333
191.75	0.046716	86	211.7931	60	664.751572	2.18139	<Null>	<Null>	76	304.697647	<Null>	7	50	24.085417
191.75	0.078632	102	270	60	664.751572	1.149642	266.333333	73	75	301.848727	265	7	50	24.085417
169.972222	0.105917	99	231.108	50	664.751572	5.888137	271.333333	<Null>	74	301.797457	<Null>	7	50	24.085417
140.325	0.031153	89	56.08989	60	664.751572	8.254871	<Null>	<Null>	72	313.729765	<Null>	4	50	24.583333
147.731707	0.136303	115	262.3418	40	664.751572	6.925919	326	73	77	306.230629	246	7	60	24.3125
135.536585	0.038053	103	39.56726	60	664.751572	3.604724	315.333333	73	76	304.632705	241.333333	7	60	24.3125
135.536585	0.104283	123	111.9682	30	664.751572	4.94631	315.666667	73	77	310.764633	237	7	30	24.3125
124	0.122517	139	302.8442	60	664.751572	13.42946	316.333333	72	74	311.352532	224.333333	7	10	24.3125
119.04878	0.083922	148	224.749	60	655.303294	6.501755	335.666667	73.666667	76	304.135383	248.666667	7	60	23.695833
146.121951	0.052672	157	196.2544	50	655.303294	15.99495	304.666667	72.666667	73	309.775116	239	7	50	24.3125
136.04878	0.064887	164	74.94134	60	655.303294	3.565301	299	72.333333	74	309.727263	205	7	10	24.889583
136.04878	0.087571	161	352.9375	60	655.303294	9.264232	309.666667	71.333333	73	309.843476	217.666667	7	50	24.889583
123.146341	0.045133	225	60.53205	50	655.303294	12.97146	298.333333	72	71	308.40449	221	7	50	24.889583
138.804878	0.10624	135	90	60	655.303294	2.297121	309	72	74	312.155767	226.666667	7	10	24.3125
127.804878	0.128926	142	90	10	655.303294	7.992107	308.666667	72	74	313.881867	220.333333	7	10	24.3125
118.731707	0.064487	263	342.7924	60	655.303294	7.720542	301.666667	70.333333	75	309.910128	226	7	10	24.889583
103.512195	0.130141	252	328.2234	30	655.303294	18.91947	321.333333	69	69	305.991368	256.333333	7	30	24.233333
131.902439	0.042491	205	41.50668	60	655.303294	8.604277	307.666667	71.333333	72	304.282358	217.666667	7	60	24.889583
124.878049	0.073122	311	245.2334	30	655.303294	17.17803	301.666667	71.666667	68	304.253304	236.666667	7	60	24.233333
115.560976	0.069952	257	22.43329	50	655.303294	14.71882	286	72	75	305.323145	214.666667	7	10	23.44375
135.341463	0.151478	245	211.7764	60	655.303294	10.78118	312.333333	71	69	308.454051	251	7	30	23.44375
127.097561	0.077233	313	28.83596	50	668.240918	9.442546	286.333333	72	71	313.283713	275.666667	7	50	23.44375
107.560976	0.064758	270	74.9366	60	668.240918	17.29856	285	71.666667	72	303.373164	213.666667	7	10	23.44375
136.756098	0.066256	32	252.0942	50	718.5655	6.011244	345	70.333333	68	309.735809	210	7	50	22.89375
142.853659	0.083556	18	118.3065	60	718.5655	3.905847	342.333333	70.666667	68	309.178671	208.333333	7	50	24.4
121.390244	0.033539	120	120.642	60	718.5655	19.25802	287.666667	69.333333	66	310.768051	212.333333	7	60	22.89375
142.853659	0.069744	22	55.29791	60	718.5655	9.68169	341.666667	71	67	310.262184	213	7	60	24.4
152.535714	0.102054	178	180	50	817.687196	2.780288	245.333333	72.666667	71	316.958085	240	7	50	23.489583
150.439024	0.1084	165	157.5161	60	817.687196	3.008609	251	72.333333	74	314.03226	241.333333	7	30	23.489583
168.217391	0.115964	160	264.886	60	829.999103	10.29307	249.666667	72.666667	73	317.163166	265	7	30	24.716667
160.297297	0.197903	178	202.4843	60	817.687196	3.008617	220	73	75	320.037721	275	4	30	24.716667
147.243243	0.064501	189	240.0918	60	817.687196	9.220308	241.666667	72	74	320.130007	246.333333	7	30	24.716667
147.435897	0.081314	216	68.06953	60	817.687196	4.954351	247.666667	71.666667	75	318.058687	216	7	30	24.316667
150.439024	0.10157	157	211.8323	50	817.687196	2.182315	253.333333	72.666667	74	316.930741	249.666667	7	50	23.489583
130.37037	0.098261	143	231.1495	50	829.999103	1.47824	234.333333	72.666667	74	311.472163	240.666667	4	50	24.716667
140.869565	0.096538	131	51.14804	50	829.999103	2.954419	254.333333	72.666667	76	312.921403	279	7	50	24.716667
167.583333	0.108991	162	224.8049	10	829.999103	12.85228	240.333333	71.333333	71	315.399468	276.333333	4	10	24.716667
167.583333	0.119186	141	180	50	829.999103	4.627367	231.333333	70.666667	71	314.726118	283.666667	4	50	24.716667
150.2	0.105396	157	191.691	60	812.644	5.664311	269	72.333333	71	314.237341	259	7	30	24.716667
152.5	0.075403	194	111.9336	50	816.76423	2.48148	241.333333	71.333333	75	316.117252	259.333333	7	50	24.608333
172.233333	0.100715	178	180	50	816.76423	3.704792	246.333333	70.666667	75	315.105518	278.666667	4	50	24.716667
145.655172	0.100485	177	90	60	812.644	3.450434	233.666667	72	74	316.906814	283	7	30	24.608333
155.56	0.097497	160	0	40	812.644	0.92741	266.666667	71.666667	72	313.160665	266	7	60	24.608333
155.56	0.099413	160	180	40	812.644	1.854334	273.666667	71.333333	70	311.656736	265.666667	7	30	24.716667
140.966667	0.121708	191	137.0394	40	816.76423	5.056321	242	72.333333	72	316.356513	267.333333	7	40	24.608333
134.195122	0.015395	189	90	60	814.579623	1.151719	245.333333	73.666667	73	320.266728	233	7	60	24.316667
114.392857	0.021351	211	231.1632	60	814.579623	1.478678	270.333333	72.666667	74	320.239384	231	7	50	23.98125
139.033333	0.168291	210	248.0724	60	814.579623	2.48212	233.333333	73.666667	74	320.259892	239.666667	7	30	23.98125
162.090909	0.107907	201	68.07153	50	814.579623	2.482028	237.333333	73	75	316.452218	240.333333	7	50	23.98125
153.097561	0.129386	2	90	60	991.314112	2.301032	<Null>	70.666667	69	314.08353	267	7	30	25.314583
130.195122	0.122949	2	51.13896	50	991.314112	1.477902	301.666667	72.333333	73	313.960481	273.333333	7	50	25.314583
148.853659	0.108006	5	180	60	991.314112	0.92741	<Null>	<Null>	69	312.846207	<Null>	7	30	25.208333
148.585366	0.031772	3	270	50	991.314112	1.151033	393.666667	69.666667	70	313.225607	252.666667	7	50	25.314583
149.04878	0.084999	2	90	10	991.314112	1.15096	349	71	72	311.256827	285	7	10	25.314583
144.609756	0.176173	11	128.8521	60	991.314112	1.478189	<Null>	<Null>	70	312.678724	<Null>	7	30	25.208333
